W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw,season,win,draw,loss,points,win_pct,for,against,streak
11.0,0.0,6.0,33.0,0.647,8.0,,,1 (L),HappyHaalandays,3,17,14,,,,,,,,
10.0,0.0,7.0,30.0,0.588,1.0,,,1 (W),New Zac on the Block,4,17,14,,,,,,,,
10.0,0.0,7.0,30.0,0.588,3.0,,,3 (W),Thottenham Hotsluts,5,17,14,,,,,,,,
8.0,0.0,9.0,24.0,0.471,2.0,,,1 (L),RATABE,6,17,14,,,,,,,,
8.0,0.0,9.0,24.0,0.471,5.0,,,1 (W),Benford FC,7,17,14,,,,,,,,
6.0,0.0,11.0,18.0,0.353,4.0,,,2 (L),Seanhampton,8,17,14,,,,,,,,
5.0,0.0,12.0,15.0,0.294,7.0,,,1 (L),Concept of a FPLan,9,17,14,,,,,,,,
4.0,0.0,13.0,12.0,0.235,6.0,,,10 (L),Magpies United,10,17,14,,,,,,,,
13.0,0.0,5.0,39.0,0.722,9.0,,,5 (W),Cheasle FC,1,18,14,,,,,,,,
12.0,0.0,6.0,36.0,0.667,10.0,,,2 (W),TAAco Bell,2,18,14,,,,,,,,
12.0,0.0,6.0,36.0,0.667,8.0,,,1 (W),HappyHaalandays,3,18,14,,,,,,,,
11.0,0.0,7.0,33.0,0.611,3.0,,,4 (W),Thottenham Hotsluts,4,18,14,,,,,,,,
10.0,0.0,8.0,30.0,0.556,1.0,,,1 (L),New Zac on the Block,5,18,14,,,,,,,,
9.0,0.0,9.0,27.0,0.5,2.0,,,1 (W),RATABE,6,18,14,,,,,,,,
8.0,0.0,10.0,24.0,0.444,5.0,,,1 (L),Benford FC,7,18,14,,,,,,,,
6.0,0.0,12.0,18.0,0.333,4.0,,,3 (L),Seanhampton,8,18,14,,,,,,,,
5.0,0.0,13.0,15.0,0.278,7.0,,,2 (L),Concept of a FPLan,9,18,14,,,,,,,,
4.0,0.0,14.0,12.0,0.222,6.0,,,11 (L),Magpies United,10,18,14,,,,,,,,
13.0,0.0,6.0,39.0,0.684,9.0,,,1 (L),Cheasle FC,1,19,14,,,,,,,,
13.0,0.0,6.0,39.0,0.684,10.0,,,3 (W),TAAco Bell,2,19,14,,,,,,,,
13.0,0.0,6.0,39.0,0.684,8.0,,,2 (W),HappyHaalandays,3,19,14,,,,,,,,
11.0,0.0,8.0,33.0,0.579,3.0,,,1 (L),Thottenham Hotsluts,4,19,14,,,,,,,,
10.0,0.0,9.0,30.0,0.526,1.0,,,2 (L),New Zac on the Block,5,19,14,,,,,,,,
9.0,0.0,10.0,27.0,0.474,2.0,,,1 (L),RATABE,6,19,14,,,,,,,,
9.0,0.0,10.0,27.0,0.474,5.0,,,1 (W),Benford FC,7,19,14,,,,,,,,
7.0,0.0,12.0,21.0,0.368,4.0,,,1 (W),Seanhampton,8,19,14,,,,,,,,
6.0,0.0,13.0,18.0,0.316,7.0,,,1 (W),Concept of a FPLan,9,19,14,,,,,,,,
4.0,0.0,15.0,12.0,0.211,6.0,,,12 (L),Magpies United,10,19,14,,,,,,,,
14.0,0.0,6.0,42.0,0.7,9.0,,,1 (W),Cheasle FC,1,20,14,,,,,,,,
14.0,0.0,6.0,42.0,0.7,10.0,,,4 (W),TAAco Bell,2,20,14,,,,,,,,
13.0,0.0,7.0,39.0,0.65,8.0,,,1 (L),HappyHaalandays,3,20,14,,,,,,,,
11.0,0.0,9.0,33.0,0.55,1.0,,,1 (W),New Zac on the Block,4,20,14,,,,,,,,
11.0,0.0,9.0,33.0,0.55,3.0,,,2 (L),Thottenham Hotsluts,5,20,14,,,,,,,,
10.0,0.0,10.0,30.0,0.5,2.0,,,1 (W),RATABE,6,20,14,,,,,,,,
10.0,0.0,10.0,30.0,0.5,5.0,,,2 (W),Benford FC,7,20,14,,,,,,,,
7.0,0.0,13.0,21.0,0.35,4.0,,,1 (L),Seanhampton,8,20,14,,,,,,,,
6.0,0.0,14.0,18.0,0.3,7.0,,,1 (L),Concept of a FPLan,9,20,14,,,,,,,,
4.0,0.0,16.0,12.0,0.2,6.0,,,13 (L),Magpies United,10,20,14,,,,,,,,
15.0,0.0,6.0,45.0,0.714,9.0,,,2 (W),Cheasle FC,1,21,14,,,,,,,,
15.0,0.0,6.0,45.0,0.714,10.0,,,5 (W),TAAco Bell,2,21,14,,,,,,,,
13.0,0.0,8.0,39.0,0.619,8.0,,,2 (L),HappyHaalandays,3,21,14,,,,,,,,
12.0,0.0,9.0,36.0,0.571,3.0,,,1 (W),Thottenham Hotsluts,4,21,14,,,,,,,,
11.0,0.0,10.0,33.0,0.524,1.0,,,1 (L),New Zac on the Block,5,21,14,,,,,,,,
11.0,0.0,10.0,33.0,0.524,5.0,,,3 (W),Benford FC,6,21,14,,,,,,,,
10.0,0.0,11.0,30.0,0.476,2.0,,,1 (L),RATABE,7,21,14,,,,,,,,
7.0,0.0,14.0,21.0,0.333,7.0,,,1 (W),Concept of a FPLan,8,21,14,,,,,,,,
7.0,0.0,14.0,21.0,0.333,4.0,,,2 (L),Seanhampton,9,21,14,,,,,,,,
