win,draw,loss,points,win_pct,for,against,streak,team,rank,gw,season
8,1,17,25,0.327,1005.0,1302.4,4 (L),Mo Mané Mo Problems,8,26,12
21,1,5,64,0.796,1502.8,1204.6,2 (W),Sa Lah Land,1,27,12
16,1,10,49,0.611,1402.9,1226.8,1 (W),Bench Warmers FC,2,27,12
15,1,11,46,0.574,1396.2,1287.1,3 (W),RATABE,3,27,12
14,1,12,43,0.537,1373.6,1237.2,1 (W),I_De_Zerbit,4,27,12
12,1,14,37,0.463,1363.6,1360.4,1 (L),Benford F.C.,5,27,12
10,1,16,31,0.389,1091.4,1311.1,1 (L),HappyHaalandays,6,27,12
8,1,18,25,0.315,1224.7,1387.3,3 (L),Seanhampton FC,7,27,12
8,1,18,25,0.315,1049.2,1389.9,5 (L),Mo Mané Mo Problems,8,27,12
22,1,5,67,0.804,1565.4,1245.7,3 (W),Sa Lah Land,1,28,12
17,1,10,52,0.625,1468.4,1260.8,2 (W),Bench Warmers FC,2,28,12
15,1,12,46,0.554,1437.3,1349.7,1 (L),RATABE,3,28,12
14,1,13,43,0.518,1407.6,1302.7,1 (L),I_De_Zerbit,4,28,12
12,1,15,37,0.446,1392.1,1395.3,2 (L),Benford F.C.,5,28,12
11,1,16,34,0.411,1132.1,1337.9,1 (W),HappyHaalandays,6,28,12
9,1,18,28,0.339,1259.6,1415.8,1 (W),Seanhampton FC,7,28,12
8,1,19,25,0.304,1076.0,1430.6,6 (L),Mo Mané Mo Problems,8,28,12
23,1,5,70,0.81,1677.4,1331.6,4 (W),Sa Lah Land,1,29,12
17,1,11,52,0.603,1548.4,1345.7,1 (L),Bench Warmers FC,2,29,12
16,1,12,49,0.569,1537.4,1433.2,1 (W),RATABE,3,29,12
14,1,14,43,0.5,1484.6,1383.0,2 (L),I_De_Zerbit,4,29,12
12,1,16,37,0.431,1478.0,1507.3,3 (L),Benford F.C.,5,29,12
11,1,17,34,0.397,1215.6,1438.0,1 (L),HappyHaalandays,6,29,12
10,1,18,31,0.362,1344.5,1495.8,2 (W),Seanhampton FC,7,29,12
9,1,19,28,0.328,1156.3,1507.6,1 (W),Mo Mané Mo Problems,8,29,12
24,1,5,73,0.817,1727.8,1372.1,5 (W),Sa Lah Land,1,30,12
17,1,12,52,0.583,1588.9,1396.1,2 (L),Bench Warmers FC,2,30,12
16,1,13,49,0.55,1582.0,1482.2,1 (L),RATABE,3,30,12
15,1,14,46,0.517,1535.5,1420.8,1 (W),I_De_Zerbit,4,30,12
13,1,16,40,0.45,1527.0,1551.9,1 (W),Benford F.C.,5,30,12
11,1,18,34,0.383,1253.4,1488.9,2 (L),HappyHaalandays,6,30,12
10,1,19,31,0.35,1386.2,1541.8,1 (L),Seanhampton FC,7,30,12
10,1,19,31,0.35,1202.3,1549.3,2 (W),Mo Mané Mo Problems,8,30,12
25,1,5,76,0.823,1794.3,1416.8,6 (W),Sa Lah Land,1,31,12
17,1,13,52,0.565,1631.6,1439.0,3 (L),Bench Warmers FC,2,31,12
17,1,13,52,0.565,1624.9,1524.9,1 (W),RATABE,3,31,12
15,1,15,46,0.5,1574.0,1473.6,1 (L),I_De_Zerbit,4,31,12
14,1,16,43,0.468,1589.3,1594.2,2 (W),Benford F.C.,5,31,12
11,1,19,34,0.371,1439.0,1580.3,1 (W),Seanhampton FC,6,31,12
11,1,19,34,0.371,1295.7,1551.2,3 (L),HappyHaalandays,7,31,12
10,1,20,31,0.339,1247.0,1615.8,1 (L),Mo Mané Mo Problems,8,31,12
26,1,5,79,0.828,1860.3,1471.8,7 (W),Sa Lah Land,1,32,12
18,1,13,55,0.578,1688.9,1468.4,1 (W),Bench Warmers FC,2,32,12
18,1,13,55,0.578,1664.1,1556.7,2 (W),RATABE,3,32,12
15,1,16,46,0.484,1629.0,1539.6,2 (L),I_De_Zerbit,4,32,12
14,1,17,43,0.453,1618.7,1651.5,1 (L),Benford F.C.,5,32,12
12,1,19,37,0.391,1359.5,1592.4,1 (W),HappyHaalandays,6,32,12
11,1,20,34,0.359,1480.2,1644.1,1 (L),Seanhampton FC,7,32,12
10,1,21,31,0.328,1278.8,1655.0,2 (L),Mo Mané Mo Problems,8,32,12
27,1,5,82,0.833,1894.6,1505.8,8 (W),Sa Lah Land,1,33,12
18,1,14,55,0.561,1725.6,1524.4,1 (L),Bench Warmers FC,2,33,12
18,1,14,55,0.561,1712.1,1613.7,1 (L),RATABE,3,33,12
16,1,16,49,0.5,1686.0,1587.6,1 (W),I_De_Zerbit,4,33,12
15,1,17,46,0.47,1689.6,1683.6,1 (W),Benford F.C.,5,33,12
13,1,19,40,0.409,1415.5,1629.1,2 (W),HappyHaalandays,6,33,12
11,1,21,34,0.348,1514.2,1678.4,2 (L),Seanhampton FC,7,33,12
10,1,22,31,0.318,1310.9,1725.9,3 (L),Mo Mané Mo Problems,8,33,12
28,1,5,85,0.838,1967.5,1562.8,9 (W),Sa Lah Land,1,34,12
19,1,14,58,0.574,1816.4,1583.2,1 (W),Bench Warmers FC,2,34,12
18,1,15,55,0.544,1753.8,1677.6,2 (L),RATABE,3,34,12
17,1,16,52,0.515,1768.9,1668.1,2 (W),I_De_Zerbit,4,34,12
15,1,18,46,0.456,1770.1,1766.5,1 (L),Benford F.C.,5,34,12
13,1,20,40,0.397,1472.5,1702.0,1 (L),HappyHaalandays,6,34,12
12,1,21,37,0.368,1578.1,1720.1,1 (W),Seanhampton FC,7,34,12
10,1,23,31,0.309,1369.7,1816.7,4 (L),Mo Mané Mo Problems,8,34,12
29,1,5,88,0.843,2027.8,1598.1,10 (W),Sa Lah Land,1,35,12
19,1,15,58,0.557,1846.3,1621.4,1 (L),Bench Warmers FC,2,35,12
18,1,16,55,0.529,1807.1,1698.0,3 (W),I_De_Zerbit,3,35,12
18,1,16,55,0.529,1789.1,1737.9,3 (L),RATABE,4,35,12
15,1,19,46,0.443,1795.0,1803.3,2 (L),Benford F.C.,5,35,12
13,1,21,40,0.386,1614.9,1745.0,2 (W),Seanhampton FC,6,35,12
13,1,21,40,0.386,1513.9,1751.5,2 (L),HappyHaalandays,7,35,12
11,1,23,34,0.329,1419.2,1858.1,1 (W),Mo Mané Mo Problems,8,35,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,36,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,36,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,36,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,36,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,36,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,36,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,36,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,36,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,37,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,37,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,37,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,37,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,37,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,37,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,37,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,37,12
30,1,5,91,0.847,2110.8,1652.4,11 (W),Sa Lah Land,1,38,12
20,1,15,61,0.569,1901.6,1669.0,1 (W),Bench Warmers FC,2,38,12
19,1,16,58,0.542,1867.6,1740.2,4 (W),I_De_Zerbit,3,38,12
18,1,17,55,0.514,1826.8,1830.8,4 (L),RATABE,4,38,12
15,1,20,46,0.431,1849.3,1886.3,3 (L),Benford F.C.,5,38,12
14,1,21,43,0.403,1606.8,1789.2,1 (W),HappyHaalandays,6,38,12
13,1,22,40,0.375,1662.5,1800.3,1 (L),Seanhampton FC,7,38,12
11,1,24,34,0.319,1461.4,1918.6,1 (L),Mo Mané Mo Problems,8,38,12
